value,n_rows_sampled,n_letters,script_1,share_1,script_2,share_2,script_3,share_3
ukr,30,24992,CYRILLIC,0.976,LATIN,0.024,,0.0
kir,30,24636,CYRILLIC,0.983,LATIN,0.017,,0.0
hye,30,24311,ARMENIAN,0.986,LATIN,0.014,,0.0
mlt,30,23443,LATIN,0.999,CYRILLIC,0.001,,0.0
kbp,30,22792,LATIN,0.999,CYRILLIC,0.001,GREEK,0.0
rus,30,22698,CYRILLIC,0.949,LATIN,0.05,KANNADA,0.001
tha,30,22592,THAI,0.893,LATIN,0.105,HAN,0.001
alt,30,22573,CYRILLIC,0.989,LATIN,0.011,HAN,0.0
deu,30,22291,LATIN,0.998,HAN,0.001,GREEK,0.0
ita,30,22098,LATIN,0.998,GREEK,0.001,CYRILLIC,0.001
mkd,30,21933,CYRILLIC,0.982,LATIN,0.018,,0.0
fra,30,21867,LATIN,0.928,ARABIC,0.037,DEVANAGARI,0.035
fry,30,21858,LATIN,1.0,,0.0,,0.0
lav,30,21570,LATIN,0.999,CYRILLIC,0.0,HAN,0.0
dan,30,21392,LATIN,1.0,,0.0,,0.0
fin,30,21380,LATIN,1.0,,0.0,,0.0
ces,30,21115,LATIN,1.0,CYRILLIC,0.0,,0.0
slv,30,21089,LATIN,1.0,,0.0,,0.0
ell,30,20979,GREEK,0.954,LATIN,0.046,ARABIC,0.0
cym,30,20861,LATIN,1.0,HAN,0.0,,0.0
lit,30,20818,LATIN,0.998,CYRILLIC,0.001,HAN,0.0
kan,30,20775,KANNADA,0.937,LATIN,0.06,TELUGU,0.003
isl,30,20762,LATIN,1.0,,0.0,,0.0
kaz,30,20698,CYRILLIC,0.965,LATIN,0.035,,0.0
glg,30,20666,LATIN,0.99,ARABIC,0.01,MASCULINE,0.0
div,30,20614,THAANA,0.982,ARABIC,0.013,LATIN,0.005
kat,30,20535,GEORGIAN,0.964,LATIN,0.035,DEVANAGARI,0.0
hun,30,20509,LATIN,1.0,,0.0,,0.0
mon,30,20387,CYRILLIC,0.971,LATIN,0.028,TIBETAN,0.001
mlg,30,20338,LATIN,1.0,ARABIC,0.0,HAN,0.0
bak,30,20256,CYRILLIC,0.995,LATIN,0.005,,0.0
pol,30,20228,LATIN,0.997,HIRAGANA,0.001,HAN,0.001
afr,30,20089,LATIN,1.0,,0.0,,0.0
din,30,19659,LATIN,1.0,,0.0,,0.0
epo,30,19543,LATIN,0.997,GREEK,0.002,GEORGIAN,0.001
bul,30,19529,CYRILLIC,0.882,LATIN,0.118,,0.0
mal,30,19450,MALAYALAM,0.906,LATIN,0.073,BENGALI,0.017
lah,30,19370,ARABIC,0.966,LATIN,0.034,CYRILLIC,0.001
aze,30,19317,LATIN,0.999,HAN,0.001,,0.0
spa,30,19260,LATIN,1.0,,0.0,,0.0
lao,30,19220,LAO,0.892,LATIN,0.089,HIRAGANA,0.006
tgk,30,19133,CYRILLIC,0.961,LATIN,0.036,ARABIC,0.003
ltz,30,19093,LATIN,1.0,,0.0,,0.0
lim,30,19081,LATIN,0.999,CYRILLIC,0.001,ARABIC,0.001
uzb,30,19075,LATIN,0.911,CYRILLIC,0.089,,0.0
por,30,18883,LATIN,0.994,ARABIC,0.006,MASCULINE,0.0
tyv,30,18724,CYRILLIC,0.985,LATIN,0.015,ARABIC,0.0
ron,30,18716,LATIN,1.0,GREEK,0.0,,0.0
hau,30,18683,LATIN,0.999,ARABIC,0.001,,0.0
tur,30,18669,LATIN,1.0,,0.0,,0.0
ssw,30,18635,LATIN,0.997,TIBETAN,0.002,CYRILLIC,0.001
tam,30,18585,TAMIL,0.832,LATIN,0.152,GURMUKHI,0.008
khm,30,18471,KHMER,0.917,LATIN,0.077,LAO,0.006
bel,30,18305,CYRILLIC,0.978,LATIN,0.022,,0.0
yid,30,18296,HEBREW,0.986,LATIN,0.014,ARABIC,0.0
msa,30,17938,LATIN,0.955,ARABIC,0.045,,0.0
kal,30,17908,LATIN,1.0,,0.0,,0.0
est,30,17866,LATIN,0.994,CYRILLIC,0.005,HANGUL,0.0
tel,30,17732,TELUGU,0.883,LATIN,0.103,TAMIL,0.011
slk,30,17720,LATIN,1.0,,0.0,,0.0
zha,30,17647,LATIN,0.785,HAN,0.141,ARABIC,0.059
uig,30,17625,ARABIC,0.96,LATIN,0.033,CYRILLIC,0.005
swe,30,17614,LATIN,0.999,GREEK,0.001,,0.0
lat,30,17606,LATIN,0.994,CYRILLIC,0.003,GREEK,0.003
stq,30,17506,LATIN,0.999,GREEK,0.001,,0.0
sin,30,17430,SINHALA,0.883,LATIN,0.117,,0.0
eng,30,17408,LATIN,0.998,DEVANAGARI,0.002,,0.0
eus,30,17396,LATIN,0.987,BENGALI,0.006,ARABIC,0.005
bar,30,17356,LATIN,0.992,HAN,0.008,,0.0
kur,30,16947,ARABIC,0.567,LATIN,0.432,CYRILLIC,0.0
ori,30,16938,ORIYA,0.834,LATIN,0.144,DEVANAGARI,0.013
pus,30,16921,ARABIC,0.979,LATIN,0.021,,0.0
heb,30,16902,HEBREW,0.947,LATIN,0.05,ARABIC,0.002
asm,30,16866,BENGALI,0.882,LATIN,0.118,,0.0
nep,30,16836,DEVANAGARI,0.901,LATIN,0.098,CYRILLIC,0.001
ben,30,16833,BENGALI,0.822,LATIN,0.165,ARABIC,0.01
snd,30,16829,ARABIC,0.964,LATIN,0.036,,0.0
pan,30,16649,GURMUKHI,0.894,LATIN,0.097,MALAYALAM,0.008
dzo,30,16512,TIBETAN,0.971,LATIN,0.029,HAN,0.001
mar,30,16478,DEVANAGARI,0.836,LATIN,0.127,ARABIC,0.011
tat,30,16457,CYRILLIC,0.951,LATIN,0.049,,0.0
cat,30,16413,LATIN,0.989,ARABIC,0.007,GUJARATI,0.004
ceb,30,16408,LATIN,0.983,CYRILLIC,0.006,ARABIC,0.002
guj,30,16348,GUJARATI,0.817,LATIN,0.153,ARABIC,0.016
nld,30,16220,LATIN,0.999,GREEK,0.001,HAN,0.0
jam,30,16188,LATIN,0.999,ARABIC,0.001,GREEK,0.0
mya,30,16184,MYANMAR,0.969,LATIN,0.031,,0.0
guc,30,16128,LATIN,1.0,,0.0,,0.0
arg,30,16022,LATIN,0.999,ARABIC,0.0,GREEK,0.0
srd,30,15892,LATIN,0.996,CYRILLIC,0.003,HAN,0.0
orm,30,15812,LATIN,1.0,CYRILLIC,0.0,,0.0
ibo,30,15766,LATIN,1.0,,0.0,,0.0
jpn,30,15481,HIRAGANA,0.343,HAN,0.27,LATIN,0.209
ban,30,15455,LATIN,0.993,BALINESE,0.007,,0.0
hbs,30,15336,LATIN,0.791,CYRILLIC,0.209,,0.0
urd,30,15311,ARABIC,0.889,LATIN,0.098,TAMIL,0.007
chv,30,15257,CYRILLIC,0.862,LATIN,0.138,,0.0
ara,30,15198,ARABIC,0.632,LATIN,0.365,HIRAGANA,0.002
new,30,15060,DEVANAGARI,0.982,LATIN,0.016,TAMIL,0.001
glv,30,15054,LATIN,0.996,CYRILLIC,0.004,ARABIC,0.0
tuk,30,15005,LATIN,0.997,CYRILLIC,0.002,ARABIC,0.001
nor,30,14939,LATIN,1.0,HAN,0.0,,0.0
code,30,14862,LATIN,1.0,GREEK,0.0,,0.0
gle,30,14841,LATIN,1.0,GREEK,0.0,,0.0
sqi,30,14422,LATIN,0.997,CYRILLIC,0.002,GREEK,0.001
vie,30,14412,LATIN,0.908,ARABIC,0.055,HAN,0.018
nds,30,14229,LATIN,1.0,ARABIC,0.0,GREEK,0.0
grn,30,14210,LATIN,0.999,HEBREW,0.001,,0.0
wln,30,14082,LATIN,0.998,TIFINAGH,0.002,,0.0
ava,30,13888,CYRILLIC,0.947,LATIN,0.053,,0.0
kin,30,13836,LATIN,0.988,CANADIAN SYLLABICS,0.012,,0.0
aym,30,13775,LATIN,1.0,,0.0,,0.0
bre,30,13656,LATIN,1.0,,0.0,,0.0
kbd,30,13485,CYRILLIC,0.952,LATIN,0.048,,0.0
hin,30,13436,DEVANAGARI,0.703,LATIN,0.278,MALAYALAM,0.013
san,30,13422,DEVANAGARI,0.985,LATIN,0.015,BENGALI,0.0
fas,30,13397,ARABIC,0.761,LATIN,0.239,,0.0
run,30,13297,LATIN,0.966,KANNADA,0.013,ARABIC,0.012
haw,30,13293,LATIN,0.998,THAANA,0.002,,0.0
bod,30,13200,TIBETAN,0.974,LATIN,0.024,ARABIC,0.001
fur,30,13090,LATIN,1.0,,0.0,,0.0
som,30,13023,LATIN,0.997,ARABIC,0.003,HAN,0.0
gla,30,12996,LATIN,1.0,,0.0,,0.0
zho,30,12969,HAN,0.767,LATIN,0.201,ARABIC,0.031
pap,30,12903,LATIN,0.997,ARABIC,0.002,GREEK,0.001
ady,30,12899,CYRILLIC,0.932,LATIN,0.066,GREEK,0.002
sah,30,12759,CYRILLIC,0.96,LATIN,0.04,,0.0
sna,30,12445,LATIN,1.0,,0.0,,0.0
mwl,30,12438,LATIN,1.0,MASCULINE,0.0,,0.0
oci,30,12404,LATIN,1.0,GREEK,0.0,,0.0
ewe,30,12286,LATIN,1.0,,0.0,,0.0
amh,30,12190,ETHIOPIC,0.979,LATIN,0.02,MYANMAR,0.001
lij,30,12037,LATIN,1.0,FEMININE,0.0,,0.0
nav,30,11995,LATIN,1.0,,0.0,,0.0
kor,30,11748,HANGUL,0.829,LATIN,0.158,HAN,0.013
cor,30,11442,LATIN,0.998,GREEK,0.001,HAN,0.0
fao,30,11354,LATIN,1.0,,0.0,,0.0
fil,30,11282,LATIN,0.921,HIRAGANA,0.033,HAN,0.028
que,30,11177,LATIN,1.0,,0.0,,0.0
swa,30,11144,LATIN,1.0,,0.0,,0.0
cos,30,10982,LATIN,1.0,GREEK,0.0,,0.0
roh,30,10924,LATIN,1.0,,0.0,,0.0
mai,30,10903,DEVANAGARI,0.996,LATIN,0.003,ARABIC,0.001
jav,30,10843,LATIN,1.0,,0.0,,0.0
mri,30,10523,LATIN,0.999,BENGALI,0.0,HAN,0.0
ilo,30,10506,LATIN,0.999,GREEK,0.001,,0.0
srn,30,10462,LATIN,0.998,HAN,0.002,HANGUL,0.0
scn,30,10332,LATIN,1.0,GREEK,0.0,MASCULINE,0.0
tgl,30,10075,LATIN,1.0,,0.0,,0.0
pag,30,9964,LATIN,1.0,,0.0,,0.0
krc,30,9845,CYRILLIC,0.985,LATIN,0.015,,0.0
ful,30,9748,LATIN,1.0,,0.0,,0.0
mdf,30,9729,CYRILLIC,0.85,LATIN,0.146,TIBETAN,0.002
myv,30,9693,CYRILLIC,0.983,LATIN,0.017,,0.0
smo,30,9619,LATIN,0.993,GEORGIAN,0.006,CYRILLIC,0.001
hat,30,9613,LATIN,1.0,,0.0,,0.0
ton,30,9540,LATIN,1.0,,0.0,,0.0
nia,30,9297,LATIN,0.993,CYRILLIC,0.007,,0.0
kom,30,9195,CYRILLIC,0.948,LATIN,0.051,GREEK,0.001
shn,30,9153,MYANMAR,0.977,LATIN,0.023,,0.0
yor,30,9024,LATIN,0.95,DEVANAGARI,0.025,TELUGU,0.017
fij,30,8987,LATIN,0.999,KATAKANA,0.0,HIRAGANA,0.0
udm,30,8873,CYRILLIC,0.935,LATIN,0.065,,0.0
chm,30,8729,CYRILLIC,0.824,LATIN,0.176,,0.0
nya,30,8693,LATIN,0.935,BENGALI,0.02,DEVANAGARI,0.017
oss,30,8618,CYRILLIC,0.847,LATIN,0.153,,0.0
tum,30,8600,LATIN,0.906,MALAYALAM,0.022,KANNADA,0.018
lug,30,8564,LATIN,0.982,ARABIC,0.011,BENGALI,0.007
ido,30,8547,LATIN,0.999,HIRAGANA,0.001,HAN,0.0
vec,30,8317,LATIN,1.0,,0.0,,0.0
tir,30,8257,ETHIOPIC,0.922,LATIN,0.072,ARABIC,0.005
ven,30,8095,LATIN,1.0,,0.0,,0.0
kik,30,8038,LATIN,0.864,MALAYALAM,0.045,DEVANAGARI,0.042
wol,30,7879,LATIN,0.977,HAN,0.011,DEVANAGARI,0.011
war,30,7791,LATIN,0.998,BENGALI,0.002,,0.0
sun,30,7766,LATIN,1.0,,0.0,,0.0
hif,30,7612,LATIN,1.0,,0.0,,0.0
tso,30,7347,LATIN,0.983,GUJARATI,0.017,,0.0
xho,30,7266,LATIN,1.0,,0.0,,0.0
awa,30,7142,DEVANAGARI,0.854,LATIN,0.146,,0.0
fon,30,7034,LATIN,0.914,BENGALI,0.048,KANNADA,0.027
sot,30,7031,LATIN,0.906,DEVANAGARI,0.024,BENGALI,0.021
lmo,30,7006,LATIN,1.0,,0.0,,0.0
szl,30,6993,LATIN,0.999,CYRILLIC,0.001,,0.0
zul,30,6560,LATIN,0.98,TAMIL,0.02,,0.0
bam,30,6551,LATIN,0.846,TAMIL,0.032,MALAYALAM,0.031
sme,30,6537,LATIN,1.0,ARABIC,0.0,,0.0
tsn,30,6534,LATIN,0.966,TAMIL,0.017,KANNADA,0.014
aka,30,6501,LATIN,0.846,DEVANAGARI,0.08,ARABIC,0.022
bis,30,6469,LATIN,1.0,HAN,0.0,,0.0
ace,30,6419,LATIN,1.0,,0.0,,0.0
lin,30,6163,LATIN,0.905,TELUGU,0.061,GURMUKHI,0.021
crh,30,5991,LATIN,0.842,CYRILLIC,0.158,,0.0
iku,30,5981,CANADIAN SYLLABICS,0.884,LATIN,0.114,HEBREW,0.001
kas,30,5692,ARABIC,0.952,DEVANAGARI,0.035,LATIN,0.012
xal,30,5570,CYRILLIC,0.929,LATIN,0.065,HEBREW,0.005
chr,30,5301,CHEROKEE,0.865,LATIN,0.131,GREEK,0.003
nso,30,5203,LATIN,1.0,,0.0,,0.0
kon,30,5020,LATIN,1.0,,0.0,,0.0
sag,30,4483,LATIN,0.999,HAN,0.001,,0.0
bug,30,4348,LATIN,1.0,,0.0,,0.0
